City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
84,darhan,49.4867,105.9228,-11.47,94,10,6.17,MN,1675193550
85,punta alta,-38.8759,-62.0736,69.96,77,100,19.17,AR,1675193733
86,mataura,-46.1927,168.8643,60.3,100,100,1.14,NZ,1675193511
87,port elizabeth,-33.918,25.5701,71.89,96,20,18.41,ZA,1675193569
88,khash,28.2211,61.2158,48.18,52,0,5.59,IR,1675193734
89,honiara,-9.4333,159.95,77.23,82,85,2.26,SB,1675193734
90,san quintin,30.4833,-115.95,57.69,57,3,7.7,MX,1675193734
91,thompson,55.7435,-97.8558,-21.84,63,75,5.75,CA,1675193643
92,smidovich,48.6,133.8167,-9.29,97,100,2.86,RU,1675193735
93,barinas,8.6226,-70.2075,94.46,22,1,7.05,VE,1675193735
94,shitanjing,39.2342,106.3439,17.42,36,0,4.74,CN,1675193736
95,avarua,-21.2078,-159.775,80.65,78,20,5.75,CK,1675193513
96,yanliang,34.6592,109.2292,29.39,31,96,2.55,CN,1675193736
97,sonson,5.7106,-75.3107,71.74,51,25,3.53,CO,1675193737
98,bonthe,7.5264,-12.505,78.48,81,98,7.27,SL,1675193737
99,dulce nombre de culmi,15.1,-85.5333,89.83,48,72,5.39,HN,1675193737
100,iqaluit,63.7506,-68.5145,-15.07,64,100,14.97,CA,1675193616
101,ponta do sol,32.6667,-17.1,59.72,65,35,6.89,PT,1675193539
102,san roque,36.2107,-5.3842,56.23,72,20,10.36,ES,1675193738
103,awbari,26.5921,12.7805,49.55,26,0,7.29,LY,1675193738
104,khatanga,71.9667,102.5,-42.59,100,75,5.14,RU,1675193554
105,bredasdorp,-34.5322,20.0403,67.59,93,39,3.69,ZA,1675193517
106,upernavik,72.7868,-56.1549,1.44,94,100,11.68,GL,1675193507
107,qaqortoq,60.7167,-46.0333,16.05,87,100,0.89,GL,1675193604
108,simplicio mendes,-7.8539,-41.9103,89.04,39,100,4.76,BR,1675193739
109,gavrilov-yam,57.3018,39.8533,31.84,92,100,13.62,RU,1675193740
110,paita,-5.0892,-81.1144,81.03,62,69,15.66,PE,1675193740
111,calamar,10.2511,-74.9146,96.51,23,6,3.22,CO,1675193741
112,kudahuvadhoo,2.6708,72.8944,79.93,73,100,10.16,MV,1675193741
113,arenzano,44.4052,8.6832,49.64,70,40,3.0,IT,1675193742
114,mlowo,-9.0,32.9833,58.93,92,8,4.12,TZ,1675193742
115,hofn,64.2539,-15.2082,30.54,64,99,20.33,IS,1675193742
116,talnakh,69.4865,88.3972,1.2,95,100,9.66,RU,1675193510
117,halifax,44.6453,-63.5724,28.69,92,75,16.11,CA,1675193723
118,saint-philippe,-21.3585,55.7679,80.19,80,100,8.14,RE,1675193501
119,tynda,55.1667,124.7167,-26.66,98,96,3.78,RU,1675193743
120,beringovskiy,63.05,179.3167,26.78,93,68,13.2,RU,1675193744
121,naze,28.3667,129.4833,50.92,68,0,7.05,JP,1675193744
122,cockburn town,21.4612,-71.1419,80.56,57,40,16.11,TC,1675193399
123,severo-kurilsk,50.6789,156.125,21.16,62,92,5.3,RU,1675193504
124,morondava,-20.2833,44.2833,81.12,84,100,7.49,MG,1675193745
125,constitucion,-35.3333,-72.4167,67.28,55,51,14.88,CL,1675193745
126,camacha,33.0833,-16.3333,56.62,67,40,16.11,PT,1675193622
127,grakhovo,56.0502,51.9676,27.21,94,100,14.12,RU,1675193746
128,kamenka,51.3223,42.7678,30.97,98,100,9.64,RU,1675193746
129,ribeira grande,38.5167,-28.7,57.6,77,20,5.99,PT,1675193512
130,tuatapere,-46.1333,167.6833,61.54,96,100,3.11,NZ,1675193597
131,jamestown,42.097,-79.2353,23.02,61,40,3.0,US,1675193497
132,chapais,49.7834,-74.8492,1.18,80,100,9.89,CA,1675193674
133,katsuura,35.1333,140.3,42.13,67,16,1.5,JP,1675193613
134,fortuna,40.5982,-124.1573,53.98,55,86,3.0,US,1675193533
135,tiksi,71.6872,128.8694,-6.88,98,100,11.05,RU,1675193601
136,ust-barguzin,53.45,108.9833,-7.94,99,87,3.2,RU,1675193748
137,tromso,69.6496,18.957,30.22,93,75,2.3,NO,1675193748
138,tagusao,9.1924,117.8141,77.23,88,36,10.02,PH,1675193748
139,kaitangata,-46.2817,169.8464,61.52,98,100,1.03,NZ,1675193586
140,yaan,7.3833,8.5667,91.63,28,35,2.8,NG,1675193562
141,allen,41.0706,-85.0144,21.52,64,40,3.44,US,1675193749
142,codrington,-38.2667,141.9667,58.86,81,100,8.48,AU,1675193551
143,rapid valley,44.0625,-103.1463,32.63,45,0,6.91,US,1675193750
144,praia da vitoria,38.7333,-27.0667,57.45,77,40,11.18,PT,1675193750
145,torbay,47.6666,-52.7314,34.57,88,75,10.36,CA,1675193627
146,krasnoselkup,65.7,82.4667,-10.12,100,66,8.05,RU,1675193750
147,ahipara,-35.1667,173.1667,68.77,95,100,6.73,NZ,1675193751
148,pinega,64.7001,43.3936,31.12,95,100,14.38,RU,1675193751
149,faya,18.3851,42.4509,55.51,65,34,3.65,SA,1675193752
150,sadat,25.6833,83.2833,53.65,85,0,9.4,IN,1675193752
151,matagami,49.7502,-77.6328,6.91,47,0,11.5,CA,1675193497
152,ascension,30.2169,-90.9001,75.99,88,100,6.91,US,1675193752
153,komsomolskiy,40.4272,71.7189,29.12,80,58,9.22,UZ,1675193555
154,luderitz,-26.6481,15.1594,62.55,92,0,8.9,NA,1675193680
155,nantucket,41.2835,-70.0995,36.09,78,100,11.5,US,1675193559
156,rocky mountain house,52.3668,-114.9188,19.51,86,100,2.3,CA,1675193753
157,angoche,-16.2325,39.9086,78.85,84,29,5.39,MZ,1675193753
158,husavik,66.0449,-17.3389,28.94,91,100,27.56,IS,1675193584
159,georgetown,5.4112,100.3354,80.53,81,20,4.61,MY,1675193411
160,chippewa falls,44.9369,-91.3929,10.96,59,0,9.22,US,1675193653
161,aldama,22.9167,-98.0667,67.37,60,73,9.98,MX,1675193754
162,alofi,-19.0595,-169.9187,76.89,94,100,10.36,NU,1675193756
163,yellowknife,62.456,-114.3525,-25.08,75,75,8.05,CA,1675193521
164,kahului,20.8947,-156.47,78.84,79,20,5.99,US,1675193665
165,oia,40.5426,-8.5386,49.46,80,22,4.0,PT,1675193756
166,kurchum,48.5722,83.6542,-6.02,92,100,1.61,KZ,1675193756
167,goderich,43.7501,-81.7165,19.9,67,100,8.05,CA,1675193757
168,geraldton,-28.7667,114.6,72.01,83,0,4.61,AU,1675193512
169,ilulissat,69.2167,-51.1,6.82,85,75,14.97,GL,1675193571
170,kavieng,-2.5744,150.7967,81.66,75,100,7.92,PG,1675193550
171,pahrump,36.2083,-115.9839,46.26,27,0,1.01,US,1675193758
172,sitka,57.0531,-135.33,40.89,70,100,4.61,US,1675193547
173,atar,20.5169,-13.0499,71.17,17,51,5.59,MR,1675193758
174,chernyshkovskiy,48.4219,42.2308,29.97,94,92,7.52,RU,1675193759
175,mar del plata,-38.0023,-57.5575,78.84,79,20,14.97,AR,1675193688
176,kidal,18.4411,1.4078,70.95,6,22,7.29,ML,1675193759
177,omboue,-1.5746,9.2618,78.8,81,21,9.51,GA,1675193759
178,maarianhamina,60.0973,19.9348,24.66,93,0,1.14,AX,1675193760
179,stromness,58.965,-3.296,41.88,79,67,25.99,GB,1675193760
180,swellendam,-34.0226,20.4417,70.75,74,6,3.85,ZA,1675193619
181,cidreira,-30.1811,-50.2056,79.12,78,9,7.85,BR,1675193673
182,pevek,69.7008,170.3133,12.42,78,0,9.69,RU,1675193528
183,hasaki,35.7333,140.8333,25.2,54,55,5.57,JP,1675193626
184,cabedelo,-6.9811,-34.8339,86.67,69,45,13.18,BR,1675193610
185,tungor,53.3808,142.9564,-16.8,92,13,7.99,RU,1675193762
186,namatanai,-3.6667,152.4333,78.93,81,76,3.09,PG,1675193624
187,ust-tsilma,65.441,52.1498,24.48,85,83,11.32,RU,1675193762
188,honningsvag,70.9821,25.9704,35.35,80,75,16.11,NO,1675193762
189,oranjestad,12.524,-70.027,82.35,61,75,14.97,AW,1675193763
190,margate,51.3813,1.3862,44.69,74,9,1.01,GB,1675193652
191,muroto,33.2833,134.15,47.52,64,1,7.45,JP,1675193763
192,tuktoyaktuk,69.4541,-133.0374,-32.8,75,0,2.3,CA,1675193496
193,hambantota,6.1241,81.1185,76.03,89,97,3.58,LK,1675193764
194,oktyabrskoye,43.0645,44.7417,32.14,86,14,2.24,RU,1675193764
195,kushima,31.4583,131.2333,47.32,76,35,3.58,JP,1675193764
196,airai,-8.9266,125.4092,60.51,94,100,1.83,TL,1675193659
197,vostok,46.4856,135.8833,-5.3,96,100,3.51,RU,1675193662
198,maragogi,-9.0122,-35.2225,80.35,74,69,9.42,BR,1675193765
199,karcag,47.3167,20.9333,37.99,83,100,11.59,HU,1675193765
200,gawler,-34.6,138.7333,59.34,91,49,2.8,AU,1675193766
201,meulaboh,4.1363,96.1285,74.26,88,100,8.77,ID,1675193766
202,gobabis,-22.45,18.9667,72.25,66,85,8.57,NA,1675193766
203,kondinskoye,59.6481,67.41,20.73,94,100,12.08,RU,1675193767
204,bontang,0.1333,117.5,77.05,87,100,2.17,ID,1675193767
205,faanui,-16.4833,-151.75,80.8,76,31,14.47,PF,1675193584
206,lengshuijiang,27.6881,111.4294,53.73,35,0,1.25,CN,1675193768
207,ambato,-1.2491,-78.6168,77.4,84,85,13.0,EC,1675193768
208,koungheul,13.9833,-14.8,83.08,11,48,7.52,SN,1675193768
209,khandyga,62.6667,135.6,-29.94,98,100,2.13,RU,1675193769
210,berbera,10.4396,45.0143,74.41,69,34,7.56,SO,1675193769
211,bethel,41.3712,-73.414,38.48,60,100,10.36,US,1675193640
